t,h,r,e,e
l,o,n,g
25,2,37,30
38,25,2,30
27,2,26,31
27,32,2,26
27,35,2,26
27,2,26,36
2,26,28,31
32,2,26,28
35,2,26,28
2,26,28,36
2,26,29,30
37,2,26,29
2,26,29,38
2,26,37,30
38,2,26,30
33,2,27,28
2,27,28,34
2,27,29,31
32,2,27,29
35,2,27,29
2,27,36,29
2,27,30,31
32,2,27,30
35,2,27,30
2,27,36,30
2,27,37,31
2,27,38,31
32,2,27,37
32,2,27,38
2,28,29,31
32,2,28,29
2,35,28,29
2,28,29,36
2,28,30,31
32,2,28,30
2,35,28,30
2,28,30,36
2,28,37,31
2,28,38,31
32,2,28,37
32,2,28,38
33,2,29,30
2,34,29,30
32,2,29,31
2,35,29,31
2,36,29,31
32,2,35,29
32,2,36,29
33,2,37,29
33,2,29,38
2,37,34,29
2,34,29,38
32,2,30,31
2,35,30,31
2,36,30,31
32,2,35,30
32,2,36,30
33,2,37,30
38,33,2,30
2,34,37,30
38,2,34,30
32,33,2,31
32,2,34,31
33,2,35,31
33,2,36,31
2,35,34,31
2,34,36,31
2,35,37,31
2,35,38,31
2,36,37,31
2,36,38,31
32,33,2,35
32,33,2,36
32,2,35,34
32,2,34,36
32,2,35,37
32,2,35,38
32,2,36,37
32,2,36,38
33,2,35,36
33,2,37,38
2,35,34,36
2,34,37,38
2,35,36,37
2,35,36,38
25,3,4,5
26,3,4,5
29,3,4,5
3,4,5,30
33,3,4,5
34,3,4,5
3,4,6,23
24,3,4,6
27,3,4,6
3,4,28,6
35,3,4,6
3,4,6,36
3,4,21,7
3,4,22,7
25,3,4,7
26,3,4,7
3,4,37,7
3,4,38,7
8,19,3,4
8,3,4,20
8,3,4,23
8,24,3,4
9,3,4,17
9,18,3,4
9,3,4,21
9,3,4,22
10,3,4,15
16,10,3,4
19,10,3,4
10,3,4,20
11,3,4,13
11,3,4,14
11,17,3,4
11,18,3,4
3,4,12,15
16,3,4,12
21,3,5,6
3,5,6,22
29,3,5,6
3,5,6,30
33,3,5,6
34,3,5,6
19,3,5,7
3,20,5,7
27,3,5,7
3,28,5,7
35,3,5,7
3,36,5,7
8,17,3,5
8,18,3,5
8,25,3,5
8,26,3,5
8,37,3,5
8,3,5,38
9,3,5,15
16,9,3,5
9,3,5,23
24,9,3,5
13,10,3,5
10,3,5,14
21,10,3,5
10,3,5,22
11,19,3,5
11,3,20,5
17,3,12,5
18,3,12,5
13,3,5,14
17,3,6,7
18,3,6,7
3,29,6,7
3,30,6,7
33,3,6,7
34,3,6,7
8,3,6,15
8,16,3,6
8,27,3,6
8,3,28,6
8,35,3,6
8,3,36,6
9,3,13,6
9,3,6,14
9,3,6,25
9,26,3,6
9,3,37,6
38,9,3,6
10,3,6,23
24,10,3,6
11,3,12,6
11,3,21,6
11,3,6,22
19,3,12,6
3,12,20,6
3,13,6,15
16,3,13,6
3,15,6,14
16,3,6,14
8,3,13,7
8,3,14,7
8,3,29,7
8,3,30,7
8,33,3,7
8,34,3,7
27,9,3,7
9,3,28,7
9,3,35,7
9,3,36,7
10,3,12,7
25,10,3,7
26,10,3,7
10,3,37,7
10,3,38,7
11,3,23,7
11,24,3,7
3,12,21,7
3,12,22,7
17,3,13,7
18,3,13,7
17,3,14,7
18,3,14,7
16,3,15,7
8,9,3,12
8,9,3,29
8,9,3,30
8,9,3,33
8,9,34,3
8,11,10,3
8,27,10,3
8,10,3,28
8,35,10,3
8,10,3,36
8,11,3,25
8,11,26,3
8,11,3,37
8,11,3,38
8,3,12,23
8,24,3,12
8,19,3,13
8,3,20,13
8,19,3,14
8,3,20,14
8,17,3,15
8,18,3,15
8,16,3,17
8,16,18,3
9,10,3,29
9,10,3,30
9,10,3,33
9,10,3,34
11,9,3,27
11,9,3,28
11,9,3,35
11,9,3,36
9,3,12,25
9,26,3,12
9,3,12,37
9,3,12,38
9,21,3,13
9,3,13,22
9,3,21,14
9,3,14,22
19,9,3,15
9,3,20,15
16,9,3,19
16,9,3,20
9,18,3,17
11,10,3,29
11,10,3,30
11,33,10,3
11,10,3,34
27,10,3,12
10,3,12,28
35,10,3,12
10,3,12,36
10,3,13,23
24,10,3,13
10,3,14,23
24,10,3,14
10,3,21,15
10,3,22,15
16,10,3,21
16,10,3,22
19,17,10,3
17,10,3,20
18,19,10,3
18,10,3,20
11,3,12,29
11,3,12,30
11,33,3,12
11,34,3,12
11,25,3,13
11,26,3,13
11,37,3,13
11,3,13,38
11,25,3,14
11,26,3,14
11,3,37,14
11,38,3,14
11,3,23,15
11,24,3,15
11,16,3,23
11,16,3,24
11,17,3,21
11,17,3,22
11,18,3,21
11,18,3,22
11,19,3,20
27,3,12,13
28,3,12,13
35,3,12,13
3,12,13,36
27,3,12,14
3,12,28,14
35,3,12,14
3,12,14,36
25,3,12,15
26,3,12,15
3,12,37,15
3,12,38,15
16,25,3,12
16,26,3,12
16,3,12,37
16,3,12,38
17,3,12,23
24,17,3,12
18,3,12,23
24,18,3,12
19,3,12,21
19,3,12,22
21,3,12,20
3,12,20,22
3,13,14,31
32,3,13,14
29,3,13,15
3,13,30,15
33,3,13,15
34,3,13,15
16,29,3,13
16,3,13,30
16,33,3,13
16,34,3,13
27,17,3,13
17,3,28,13
17,3,13,35
17,3,36,13
27,18,3,13
18,3,28,13
35,18,3,13
18,3,36,13
19,25,3,13
19,26,3,13
19,37,3,13
19,3,13,38
25,3,20,13
26,3,20,13
37,3,20,13
3,20,13,38
21,3,13,23
24,21,3,13
3,13,22,23
24,3,13,22
3,29,14,15
3,30,14,15
33,3,14,15
34,3,14,15
16,3,29,14
16,3,14,30
16,33,3,14
16,34,3,14
27,17,3,14
17,3,28,14
17,3,14,35
17,3,36,14
27,18,3,14
18,3,28,14
35,18,3,14
18,3,36,14
19,25,3,14
19,26,3,14
19,3,37,14
19,38,3,14
25,3,20,14
26,3,20,14
3,20,37,14
38,3,20,14
3,21,14,23
24,3,21,14
3,23,14,22
24,3,14,22
16,3,31,15
16,32,3,15
17,3,29,15
17,3,30,15
17,3,33,15
17,34,3,15
18,3,29,15
18,3,30,15
33,18,3,15
18,3,34,15
19,27,3,15
19,3,28,15
19,35,3,15
19,3,36,15
27,3,20,15
3,20,28,15
35,3,20,15
3,20,36,15
25,3,21,15
26,3,21,15
37,3,21,15
3,21,38,15
25,3,22,15
26,3,22,15
3,37,22,15
38,3,22,15
24,3,23,15
16,17,3,29
16,17,3,30
16,17,3,33
16,17,34,3
16,18,3,29
16,18,3,30
16,33,18,3
16,18,3,34
16,19,3,27
16,19,3,28
16,19,3,35
16,19,3,36
16,27,3,20
16,3,20,28
16,35,3,20
16,3,20,36
16,25,3,21
16,26,3,21
16,37,3,21
16,3,21,38
16,25,3,22
16,26,3,22
16,3,37,22
16,38,3,22
16,24,3,23
17,18,3,31
32,17,18,3
19,17,3,29
19,17,3,30
19,17,3,33
19,17,34,3
17,3,20,29
17,3,20,30
17,3,20,33
17,34,3,20
27,17,3,21
17,3,28,21
17,3,21,35
17,3,36,21
27,17,3,22
17,3,28,22
17,3,22,35
17,3,36,22
17,3,25,23
17,26,3,23
17,3,37,23
17,3,38,23
24,17,3,25
24,17,26,3
24,17,3,37
24,17,3,38
19,18,3,29
19,18,3,30
19,33,18,3
19,18,3,34
18,3,20,29
18,3,20,30
33,18,3,20
18,3,20,34
27,18,3,21
18,3,28,21
35,18,3,21
18,3,36,21
27,18,3,22
18,3,28,22
35,18,3,22
18,3,36,22
25,18,3,23
26,18,3,23
18,3,37,23
18,3,38,23
24,25,18,3
24,26,18,3
24,18,3,37
24,18,3,38
19,3,20,31
19,32,3,20
19,29,3,21
19,3,21,30
19,33,3,21
19,34,3,21
19,3,29,22
19,3,22,30
19,33,3,22
19,34,3,22
19,27,3,23
19,3,28,23
19,35,3,23
19,3,36,23
19,24,3,27
19,24,3,28
19,24,3,35
19,24,3,36
19,25,26,3
19,25,3,37
19,25,3,38
19,26,3,37
19,26,3,38
29,3,20,21
3,20,21,30
33,3,20,21
34,3,20,21
3,20,29,22
3,20,22,30
33,3,20,22
34,3,20,22
27,3,20,23
3,20,28,23
35,3,20,23
3,20,36,23
24,27,3,20
24,3,20,28
24,35,3,20
24,3,20,36
25,26,3,20
25,3,20,37
25,3,20,38
26,3,20,37
26,3,20,38
3,21,22,31
32,3,21,22
29,3,21,23
3,21,30,23
33,3,21,23
34,3,21,23
24,29,3,21
24,3,21,30
24,33,3,21
24,34,3,21
27,25,3,21
25,3,28,21
25,3,21,35
25,3,36,21
27,26,3,21
26,3,28,21
35,26,3,21
26,3,36,21
27,37,3,21
27,3,21,38
37,3,28,21
3,28,21,38
3,29,22,23
3,30,22,23
33,3,22,23
34,3,22,23
24,3,29,22
24,3,22,30
24,33,3,22
24,34,3,22
27,25,3,22
25,3,28,22
25,3,22,35
25,3,36,22
27,26,3,22
26,3,28,22
35,26,3,22
26,3,36,22
27,3,37,22
27,38,3,22
3,28,37,22
38,3,28,22
24,3,31,23
24,32,3,23
25,3,29,23
25,3,30,23
25,3,33,23
25,34,3,23
26,3,29,23
26,3,30,23
33,26,3,23
26,3,34,23
27,3,28,23
27,35,3,23
27,3,36,23
35,3,28,23
3,28,36,23
37,3,29,23
3,29,38,23
3,37,30,23
38,3,30,23
24,25,3,29
24,25,3,30
24,25,3,33
24,25,34,3
24,26,3,29
24,26,3,30
24,33,26,3
24,26,3,34
24,27,3,28
24,27,3,35
24,27,3,36
24,35,3,28
24,3,28,36
24,37,3,29
24,3,29,38
24,3,37,30
24,38,3,30
25,26,3,31
32,25,26,3
27,25,3,29
27,25,3,30
27,25,3,33
27,25,34,3
25,3,28,29
25,3,28,30
25,3,28,33
25,34,3,28
25,3,29,35
25,3,36,29
25,3,30,35
25,3,36,30
25,3,37,31
25,3,38,31
32,25,3,37
32,25,3,38
27,26,3,29
27,26,3,30
27,33,26,3
27,26,3,34
26,3,28,29
26,3,28,30
33,26,3,28
26,3,28,34
35,26,3,29
26,3,36,29
35,26,3,30
26,3,36,30
26,3,37,31
26,3,38,31
32,26,3,37
32,26,3,38
27,3,28,31
27,32,3,28
27,3,29,30
27,33,3,29
27,34,3,29
27,33,3,30
27,34,3,30
27,35,3,31
27,3,36,31
27,35,32,3
27,32,3,36
27,33,3,37
27,33,3,38
27,34,3,37
27,34,3,38
3,28,29,30
33,3,28,29
34,3,28,29
33,3,28,30
34,3,28,30
35,3,28,31
3,28,36,31
32,35,3,28
32,3,28,36
33,3,28,37
33,3,28,38
34,3,28,37
34,3,28,38
3,29,30,31
32,3,29,30
33,3,29,31
34,3,29,31
32,33,3,29
32,34,3,29
33,3,29,35
33,3,36,29
35,34,3,29
34,3,36,29
37,35,3,29
35,3,29,38
37,3,36,29
3,36,29,38
33,3,30,31
34,3,30,31
32,33,3,30
32,34,3,30
33,3,30,35
33,3,36,30
35,34,3,30
34,3,36,30
35,3,37,30
38,35,3,30
3,36,37,30
38,3,36,30
33,34,3,31
35,3,36,31
3,37,38,31
32,33,34,3
32,35,3,36
32,3,37,38
33,34,3,35
33,34,3,36
33,3,37,35
38,33,3,35
33,3,36,37
33,3,36,38
35,34,3,37
35,34,3,38
34,3,36,37
34,3,36,38
4,5,6,23
24,4,5,6
27,4,5,6
28,4,5,6
4,5,6,31
32,4,5,6
21,4,5,7
4,5,22,7
25,4,5,7
26,4,5,7
33,4,5,7
34,4,5,7
8,19,4,5
8,20,4,5
8,4,5,23
8,24,4,5
8,35,4,5
8,4,5,36
9,4,5,17
9,18,4,5
9,21,4,5
9,4,5,22
9,37,4,5
9,4,5,38
10,4,5,15
16,10,4,5
10,19,4,5
10,20,4,5
13,11,4,5
11,4,5,14
17,11,4,5
18,11,4,5
12,4,5,15
16,12,4,5
19,4,6,7
4,20,6,7
27,4,6,7
4,28,6,7
4,31,6,7
32,4,6,7
8,17,4,6
8,18,4,6
8,25,4,6
8,26,4,6
8,33,4,6
8,34,4,6
9,4,6,15
16,9,4,6
9,4,6,23
24,9,4,6
9,35,4,6
9,4,6,36
10,4,13,6
10,4,6,14
10,4,21,6
10,4,6,22
10,4,37,6
38,10,4,6
19,11,4,6
11,4,20,6
17,4,12,6
18,4,12,6
4,13,6,14
8,4,15,7
8,16,4,7
8,27,4,7
8,4,28,7
8,4,31,7
8,32,4,7
9,4,13,7
9,4,14,7
9,4,25,7
9,26,4,7
9,4,33,7
9,34,4,7
10,4,23,7
24,10,4,7
10,35,4,7
10,4,36,7
11,4,12,7
11,4,21,7
11,4,22,7
11,4,37,7
11,4,38,7
19,4,12,7
20,4,12,7
15,4,13,7
16,4,13,7
4,15,14,7
16,4,14,7
8,9,27,4
8,9,4,28
8,9,4,31
8,9,32,4
8,10,4,12
8,25,10,4
8,10,26,4
8,33,10,4
8,10,4,34
8,11,4,23
8,24,11,4
8,35,11,4
8,11,4,36
8,21,4,12
8,4,12,22
8,37,4,12
8,4,12,38
8,17,4,13
8,18,4,13
8,17,4,14
8,18,4,14
8,16,4,15
9,10,11,4
9,10,27,4
9,10,4,28
9,10,4,31
32,9,10,4
9,11,4,25
9,26,11,4
9,11,4,33
9,34,11,4
9,4,12,23
24,9,4,12
9,35,4,12
9,4,12,36
9,19,4,13
9,20,4,13
9,19,4,14
9,4,20,14
9,4,17,15
9,18,4,15
16,9,4,17
16,9,18,4
27,10,11,4
10,11,4,28
10,11,4,31
32,10,11,4
25,10,4,12
10,26,4,12
33,10,4,12
10,34,4,12
10,21,4,13
10,4,13,22
10,37,4,13
10,4,13,38
10,4,21,14
10,4,14,22
10,4,37,14
38,10,4,14
10,19,4,15
10,4,20,15
16,10,19,4
16,10,4,20
17,10,18,4
27,11,4,12
28,11,4,12
11,4,12,31
32,11,4,12
11,4,13,23
24,11,4,13
35,11,4,13
11,4,13,36
11,4,14,23
24,11,4,14
35,11,4,14
11,4,14,36
11,4,21,15
11,4,22,15
11,4,37,15
11,4,38,15
16,11,4,21
16,11,4,22
16,11,4,37
16,11,4,38
19,17,11,4
17,11,4,20
19,18,11,4
18,11,4,20
25,13,4,12
13,26,4,12
33,13,4,12
13,34,4,12
25,4,12,14
26,4,12,14
33,4,12,14
34,4,12,14
23,4,12,15
24,4,12,15
35,4,12,15
4,12,36,15
16,4,12,23
16,24,4,12
16,35,4,12
16,4,12,36
17,21,4,12
17,4,12,22
17,37,4,12
17,4,12,38
18,21,4,12
18,4,12,22
18,37,4,12
18,4,12,38
20,19,4,12
29,4,13,14
4,13,14,30
27,4,13,15
28,4,13,15
31,4,13,15
32,4,13,15
16,27,4,13
16,28,4,13
16,4,13,31
16,32,4,13
17,4,13,25
17,26,4,13
17,4,13,33
17,34,4,13
25,18,4,13
18,26,4,13
33,18,4,13
18,34,4,13
19,4,13,23
24,19,4,13
35,19,4,13
19,4,13,36
20,4,13,23
24,20,4,13
20,35,4,13
20,4,13,36
21,4,13,22
21,37,4,13
21,4,13,38
37,4,13,22
38,4,13,22
27,4,14,15
4,28,14,15
4,31,14,15
32,4,14,15
16,27,4,14
16,4,28,14
16,4,14,31
16,32,4,14
17,4,14,25
17,26,4,14
17,4,14,33
17,34,4,14
25,18,4,14
18,26,4,14
33,18,4,14
18,4,34,14
19,4,14,23
24,19,4,14
35,19,4,14
19,4,14,36
4,20,14,23
24,4,20,14
35,4,20,14
4,20,14,36
4,21,14,22
37,4,21,14
38,4,21,14
4,37,14,22
38,4,14,22
16,4,29,15
16,4,30,15
17,27,4,15
17,4,28,15
17,4,31,15
32,17,4,15
18,27,4,15
18,4,28,15
18,4,31,15
32,18,4,15
25,19,4,15
26,19,4,15
33,19,4,15
34,19,4,15
25,4,20,15
26,4,20,15
33,4,20,15
34,4,20,15
23,4,21,15
24,4,21,15
35,4,21,15
4,21,36,15
4,23,22,15
24,4,22,15
35,4,22,15
4,36,22,15
37,4,23,15
4,23,38,15
24,4,37,15
24,4,38,15
16,17,27,4
16,17,4,28
16,17,4,31
16,17,32,4
16,18,27,4
16,18,4,28
16,18,4,31
16,18,32,4
16,25,19,4
16,26,19,4
16,33,19,4
16,34,19,4
16,25,4,20
16,26,4,20
16,33,4,20
16,34,4,20
16,4,21,23
16,24,4,21
16,35,4,21
16,4,21,36
16,4,22,23
16,24,4,22
16,35,4,22
16,4,22,36
16,4,37,23
16,4,38,23
16,24,4,37
16,24,4,38
17,18,4,29
17,18,4,30
27,17,19,4
17,19,4,28
17,19,4,31
32,17,19,4
17,27,4,20
17,28,4,20
17,4,20,31
32,17,4,20
17,4,21,25
17,26,4,21
17,4,21,33
17,34,4,21
17,4,22,25
17,26,4,22
17,4,22,33
17,34,4,22
24,17,4,23
17,35,4,23
17,4,36,23
24,17,35,4
24,17,4,36
17,4,37,25
38,17,4,25
17,26,4,37
17,26,4,38
27,18,19,4
18,19,4,28
18,19,4,31
32,18,19,4
18,27,4,20
18,28,4,20
18,4,20,31
32,18,4,20
25,18,4,21
18,26,4,21
33,18,4,21
18,34,4,21
25,18,4,22
18,26,4,22
33,18,4,22
18,4,34,22
24,18,4,23
18,35,4,23
18,4,36,23
24,18,35,4
24,18,4,36
25,18,4,37
25,18,4,38
18,26,4,37
18,26,4,38
29,19,4,20
19,4,20,30
27,19,4,21
28,19,4,21
19,4,21,31
32,19,4,21
27,19,4,22
19,4,28,22
19,4,22,31
32,19,4,22
25,19,4,23
26,19,4,23
33,19,4,23
34,19,4,23
24,25,19,4
24,26,19,4
24,33,19,4
24,34,19,4
25,19,4,35
25,19,4,36
35,26,19,4
26,19,4,36
27,19,4,37
27,19,4,38
37,19,4,28
19,4,28,38
21,27,4,20
21,28,4,20
21,4,20,31
32,21,4,20
27,4,20,22
28,4,20,22
4,20,22,31
32,4,20,22
25,4,20,23
26,4,20,23
33,4,20,23
34,4,20,23
24,25,4,20
24,26,4,20
24,33,4,20
24,34,4,20
25,35,4,20
25,4,20,36
26,35,4,20
26,4,20,36
37,27,4,20
27,4,20,38
28,37,4,20
28,4,20,38
29,4,21,22
4,21,22,30
27,4,21,23
28,4,21,23
31,4,21,23
32,4,21,23
24,27,4,21
24,28,4,21
24,4,21,31
24,32,4,21
25,26,4,21
25,4,21,33
25,34,4,21
33,26,4,21
26,34,4,21
35,27,4,21
27,4,21,36
28,35,4,21
28,4,21,36
29,37,4,21
29,4,21,38
37,4,21,30
38,4,21,30
27,4,22,23
4,28,22,23
4,31,22,23
32,4,22,23
24,27,4,22
24,4,28,22
24,4,22,31
24,32,4,22
25,26,4,22
25,4,22,33
25,34,4,22
33,26,4,22
26,4,34,22
35,27,4,22
27,4,22,36
35,4,28,22
4,28,22,36
37,4,29,22
38,4,29,22
4,37,22,30
38,4,22,30
24,4,29,23
24,4,30,23
25,27,4,23
25,4,28,23
25,4,31,23
32,25,4,23
26,27,4,23
26,4,28,23
26,4,31,23
32,26,4,23
33,27,4,23
34,27,4,23
33,4,28,23
34,4,28,23
35,4,29,23
4,29,36,23
35,4,30,23
4,36,30,23
37,4,31,23
4,31,38,23
32,4,37,23
32,4,38,23
24,25,27,4
24,25,4,28
24,25,4,31
24,25,32,4
24,26,27,4
24,26,4,28
24,26,4,31
24,26,32,4
24,33,27,4
24,34,27,4
24,33,4,28
24,34,4,28
24,35,4,29
24,4,29,36
24,35,4,30
24,4,30,36
24,4,37,31
24,4,38,31
24,32,4,37
24,32,4,38
25,26,4,29
25,26,4,30
25,27,4,28
25,27,4,31
32,25,27,4
25,4,28,31
32,25,4,28
25,4,29,33
25,34,4,29
25,4,30,33
25,34,4,30
25,35,4,31
25,4,36,31
32,25,35,4
32,25,4,36
25,4,37,33
25,4,38,33
25,34,4,37
25,34,4,38
26,27,4,28
26,27,4,31
32,26,27,4
26,4,28,31
32,26,4,28
33,26,4,29
26,34,4,29
33,26,4,30
26,4,34,30
26,35,4,31
26,4,36,31
32,26,35,4
32,26,4,36
33,26,4,37
33,26,4,38
26,37,4,34
26,4,34,38
29,27,4,28
27,4,28,30
27,4,29,31
32,27,4,29
27,4,30,31
32,27,4,30
33,27,4,31
34,27,4,31
32,33,27,4
32,34,27,4
33,27,4,35
33,27,4,36
35,34,27,4
34,27,4,36
35,27,4,37
35,27,4,38
27,4,37,36
38,27,4,36
29,4,28,31
32,29,4,28
4,28,30,31
32,4,28,30
33,4,28,31
34,4,28,31
32,33,4,28
32,34,4,28
33,35,4,28
33,4,28,36
34,35,4,28
34,4,28,36
37,35,4,28
35,4,28,38
37,4,28,36
38,4,28,36
32,4,29,31
33,34,4,29
35,4,29,36
37,4,29,38
32,4,30,31
33,34,4,30
35,4,30,36
38,4,37,30
32,33,4,31
32,34,4,31
33,35,4,31
33,4,36,31
34,35,4,31
34,4,36,31
35,4,37,31
35,4,38,31
4,37,36,31
38,4,36,31
32,33,35,4
32,33,4,36
32,34,35,4
32,34,4,36
32,35,4,37
32,35,4,38
32,4,37,36
32,38,4,36
33,34,4,37
33,34,4,38
21,5,6,7
22,5,6,7
25,5,6,7
26,5,6,7
29,5,6,7
30,5,6,7
8,19,5,6
8,20,5,6
8,5,6,23
8,24,5,6
8,5,6,31
8,32,5,6
9,5,6,17
9,18,5,6
9,21,5,6
9,5,6,22
9,5,6,33
9,34,5,6
10,5,6,15
16,10,5,6
10,19,5,6
10,20,5,6
10,35,5,6
10,36,5,6
13,11,5,6
11,5,6,14
17,11,5,6
18,11,5,6
37,11,5,6
38,11,5,6
12,5,6,15
16,12,5,6
8,17,5,7
8,18,5,7
8,25,5,7
8,26,5,7
8,29,5,7
8,5,30,7
9,15,5,7
16,9,5,7
9,23,5,7
24,9,5,7
9,31,5,7
32,9,5,7
10,13,5,7
10,5,14,7
10,21,5,7
10,5,22,7
33,10,5,7
10,34,5,7
19,11,5,7
11,20,5,7
35,11,5,7
11,36,5,7
17,12,5,7
18,12,5,7
37,12,5,7
12,5,38,7
13,5,14,7
8,9,13,5
8,9,5,14
8,9,5,25
8,9,26,5
8,9,29,5
8,9,5,30
8,10,5,23
8,24,10,5
8,10,5,31
8,10,32,5
8,11,12,5
8,21,11,5
8,11,5,22
8,33,11,5
8,34,11,5
8,19,12,5
8,20,12,5
8,35,12,5
8,12,5,36
8,13,5,15
8,16,13,5
8,5,14,15
8,16,5,14
9,10,12,5
9,10,5,25
9,10,26,5
9,10,29,5
9,10,5,30
9,11,5,23
24,9,11,5
9,11,5,31
32,9,11,5
9,21,12,5
9,12,5,22
9,12,5,33
9,34,12,5
9,13,5,17
9,13,18,5
9,13,37,5
9,13,5,38
9,5,14,17
9,18,5,14
9,37,5,14
38,9,5,14
16,9,5,15
25,10,11,5
26,10,11,5
29,10,11,5
10,11,5,30
10,12,5,23
24,10,12,5
10,12,5,31
32,10,12,5
19,10,13,5
10,13,20,5
35,10,13,5
10,13,36,5
10,19,5,14
10,20,5,14
10,35,5,14
10,36,5,14
17,10,5,15
10,18,5,15
10,37,5,15
10,5,38,15
16,17,10,5
16,10,18,5
16,10,37,5
16,10,5,38
25,11,12,5
26,11,12,5
29,11,12,5
11,12,5,30
21,13,11,5
13,11,5,22
33,13,11,5
13,11,34,5
21,11,5,14
11,5,14,22
33,11,5,14
34,11,5,14
19,11,5,15
11,20,5,15
35,11,5,15
11,36,5,15
16,19,11,5
16,11,20,5
16,35,11,5
16,11,36,5
17,18,11,5
37,17,11,5
17,11,5,38
37,18,11,5
18,11,5,38
13,12,5,23
24,13,12,5
13,12,5,31
32,13,12,5
12,5,14,23
24,12,5,14
12,5,14,31
32,12,5,14
21,12,5,15
12,5,22,15
33,12,5,15
34,12,5,15
16,21,12,5
16,12,5,22
16,33,12,5
16,34,12,5
17,19,12,5
17,20,12,5
17,35,12,5
17,12,5,36
18,19,12,5
18,20,12,5
18,35,12,5
18,12,5,36
37,19,12,5
19,12,5,38
20,37,12,5
20,12,5,38
13,27,5,14
13,28,5,14
25,13,5,15
13,26,5,15
13,29,5,15
13,5,30,15
16,25,13,5
16,13,26,5
16,13,29,5
16,13,5,30
17,13,5,23
24,17,13,5
17,13,5,31
32,17,13,5
13,18,5,23
24,13,18,5
13,18,5,31
32,13,18,5
21,13,19,5
13,19,5,22
33,13,19,5
13,19,34,5
13,21,20,5
13,20,5,22
33,13,20,5
13,34,20,5
35,13,21,5
13,21,36,5
13,35,5,22
13,36,5,22
13,37,5,23
13,5,38,23
24,13,37,5
24,13,5,38
25,5,14,15
26,5,14,15
29,5,14,15
30,5,14,15
16,25,5,14
16,26,5,14
16,29,5,14
16,5,14,30
17,5,14,23
24,17,5,14
17,5,14,31
32,17,5,14
18,5,14,23
24,18,5,14
18,5,14,31
32,18,5,14
21,19,5,14
19,5,14,22
33,19,5,14
34,19,5,14
21,20,5,14
20,5,14,22
33,20,5,14
34,20,5,14
21,35,5,14
21,36,5,14
35,5,14,22
36,5,14,22
37,5,14,23
38,5,14,23
24,37,5,14
24,38,5,14
16,27,5,15
16,28,5,15
17,5,25,15
17,26,5,15
17,29,5,15
17,5,30,15
25,18,5,15
18,26,5,15
18,29,5,15
18,5,30,15
19,23,5,15
24,19,5,15
19,31,5,15
32,19,5,15
23,20,5,15
24,20,5,15
31,20,5,15
32,20,5,15
21,5,22,15
33,21,5,15
21,34,5,15
33,5,22,15
34,5,22,15
35,23,5,15
23,5,36,15
24,35,5,15
24,36,5,15
25,37,5,15
25,5,38,15
26,37,5,15
26,5,38,15
16,17,5,25
16,17,26,5
16,17,29,5
16,17,5,30
16,25,18,5
16,18,26,5
16,18,29,5
16,18,5,30
16,19,5,23
16,24,19,5
16,19,5,31
16,32,19,5
16,20,5,23
16,24,20,5
16,20,5,31
16,32,20,5
16,21,5,22
16,33,21,5
16,21,34,5
16,33,5,22
16,34,5,22
16,35,5,23
16,36,5,23
16,24,35,5
16,24,36,5
16,25,37,5
16,25,5,38
16,26,37,5
16,26,5,38
17,18,27,5
17,18,28,5
17,19,5,25
17,26,19,5
17,29,19,5
17,19,5,30
17,20,5,25
17,26,20,5
17,29,20,5
17,20,5,30
17,21,5,23
24,17,21,5
17,21,5,31
32,17,21,5
17,5,22,23
24,17,5,22
17,5,22,31
32,17,5,22
17,33,5,23
17,34,5,23
24,17,5,33
24,17,34,5
17,35,5,25
17,36,5,25
17,26,35,5
17,26,36,5
37,17,27,5
17,27,5,38
17,37,28,5
17,28,5,38
25,18,19,5
26,18,19,5
29,18,19,5
18,19,5,30
25,18,20,5
18,26,20,5
18,29,20,5
18,20,5,30
18,21,5,23
24,18,21,5
18,21,5,31
32,18,21,5
18,5,22,23
24,18,5,22
18,5,22,31
32,18,5,22
33,18,5,23
18,34,5,23
24,33,18,5
24,18,34,5
25,18,35,5
25,18,36,5
35,18,26,5
18,26,36,5
37,18,27,5
18,27,5,38
18,37,28,5
18,28,5,38
27,19,20,5
28,19,20,5
25,21,19,5
26,21,19,5
29,21,19,5
21,19,5,30
25,19,5,22
26,19,5,22
29,19,5,22
19,5,22,30
24,19,5,23
19,31,5,23
32,19,5,23
24,19,5,31
24,32,19,5
25,19,5,33
25,34,19,5
33,26,19,5
26,19,34,5
27,35,19,5
27,19,36,5
35,19,28,5
19,28,5,36
37,29,19,5
29,19,5,38
37,19,5,30
38,19,5,30
25,21,20,5
21,26,20,5
21,29,20,5
21,20,5,30
25,20,5,22
26,20,5,22
29,20,5,22
20,5,22,30
24,20,5,23
31,20,5,23
32,20,5,23
24,20,5,31
24,32,20,5
25,20,5,33
25,34,20,5
33,26,20,5
26,34,20,5
35,27,20,5
27,20,5,36
28,35,20,5
28,20,5,36
29,37,20,5
29,20,5,38
37,20,5,30
38,20,5,30
21,27,5,22
21,28,5,22
25,21,5,23
21,26,5,23
21,29,5,23
21,5,30,23
24,25,21,5
24,21,26,5
24,21,29,5
24,21,5,30
25,21,5,31
32,25,21,5
21,26,5,31
32,21,26,5
33,21,27,5
21,27,34,5
33,21,28,5
21,34,28,5
35,21,29,5
21,29,36,5
21,35,5,30
21,36,5,30
